reaction,witnessed_as
hide,%s pulls away and hides — the sudden absence of the beloved
self_punish,%s turns on themselves for the past
give_up,%s gives up — more news that nothing ever changes
mourn,%s mourns openly — a reminder of loss and what is gone
flee,"%s bolts — uncertainty, there must be a threat"
grasp,%s grasps at the next thing — look at what others have
cling,%s holds on too tightly — an obstacle in your way
attack,%s lashes out — a threat and a disrespect
inflate,%s inflates — an unflattering comparison
give_freely,"%s gives warmth freely, needing nothing"
